id,question,rating_raw,respT,type,isTrue,correct,confidence
10,UoE_1_16,5,0,covid,0,1,2
10,UoE_1_17,3,1,covid,0,0,1
10,UoE_1_18,4,0,covid,0,1,1
10,UoE_1_19,4,0,covid,0,1,1
10,UoE_1_20,4,0,covid,0,1,1
10,UoE_1_21,3,1,covid,1,1,1
10,UoE_1_22,5,0,covid,1,0,2
10,UoE_1_23,4,0,covid,1,0,1
10,UoE_1_24,4,0,covid,1,0,1
10,UoE_1_25,5,0,covid,0,1,2
10,UoE_1_26,4,0,covid,1,0,1
10,UoE_1_27,4,0,covid,1,0,1
10,UoE_1_28,5,0,covid,1,0,2
11,UoE_1_1,4,0,science,0,1,1
11,UoE_1_2,2,1,science,0,0,2
11,UoE_1_3,5,0,science,0,1,2
11,UoE_1_4,4,0,science,0,1,1
11,UoE_1_5,4,0,science,0,1,1
11,UoE_1_6,3,1,science,0,0,1
11,UoE_1_7,3,1,science,1,1,1
11,UoE_1_8,6,0,science,1,0,3
11,UoE_1_9,4,0,science,1,0,1
11,UoE_1_10,2,1,science,1,1,2
11,UoE_1_11,4,0,science,1,0,1
11,UoE_1_12,2,1,science,1,1,2
11,UoE_1_13,6,0,science,1,0,3
11,UoE_1_14,3,1,science,0,0,1
11,UoE_1_15,5,0,covid,0,1,2
11,UoE_1_16,5,0,covid,0,1,2
11,UoE_1_17,5,0,covid,0,1,2
11,UoE_1_18,4,0,covid,0,1,1
11,UoE_1_19,1,1,covid,0,0,3
11,UoE_1_20,4,0,covid,0,1,1
11,UoE_1_21,1,1,covid,1,1,3
11,UoE_1_22,5,0,covid,1,0,2
11,UoE_1_23,3,1,covid,1,1,1
11,UoE_1_24,6,0,covid,1,0,3
11,UoE_1_25,3,1,covid,0,0,1
11,UoE_1_26,3,1,covid,1,1,1
11,UoE_1_27,4,0,covid,1,0,1
11,UoE_1_28,6,0,covid,1,0,3
12,UoE_1_1,3,1,science,0,0,1
12,UoE_1_2,6,0,science,0,1,3
12,UoE_1_3,2,1,science,0,0,2
12,UoE_1_4,3,1,science,0,0,1
12,UoE_1_5,3,1,science,0,0,1
12,UoE_1_6,6,0,science,0,1,3
12,UoE_1_7,5,0,science,1,0,2
12,UoE_1_8,6,0,science,1,0,3
12,UoE_1_9,1,1,science,1,1,3
12,UoE_1_10,2,1,science,1,1,2
12,UoE_1_11,3,1,science,1,1,1
12,UoE_1_12,5,0,science,1,0,2
12,UoE_1_13,2,1,science,1,1,2
12,UoE_1_14,5,0,science,0,1,2
12,UoE_1_15,5,0,covid,0,1,2
12,UoE_1_16,5,0,covid,0,1,2
12,UoE_1_17,6,0,covid,0,1,3
12,UoE_1_18,6,0,covid,0,1,3
12,UoE_1_19,2,1,covid,0,0,2
12,UoE_1_20,4,0,covid,0,1,1
12,UoE_1_21,1,1,covid,1,1,3
12,UoE_1_22,2,1,covid,1,1,2
12,UoE_1_23,2,1,covid,1,1,2
12,UoE_1_24,3,1,covid,1,1,1
12,UoE_1_25,6,0,covid,0,1,3
12,UoE_1_26,4,0,covid,1,0,1
12,UoE_1_27,3,1,covid,1,1,1
12,UoE_1_28,1,1,covid,1,1,3
13,UoE_1_1,6,0,science,0,1,3
13,UoE_1_2,4,0,science,0,1,1
13,UoE_1_3,6,0,science,0,1,3
13,UoE_1_4,2,1,science,0,0,2
13,UoE_1_5,1,1,science,0,0,3
13,UoE_1_6,1,1,science,0,0,3
13,UoE_1_7,1,1,science,1,1,3
13,UoE_1_8,1,1,science,1,1,3
13,UoE_1_9,1,1,science,1,1,3
13,UoE_1_10,1,1,science,1,1,3
13,UoE_1_11,4,0,science,1,0,1
13,UoE_1_12,3,1,science,1,1,1
13,UoE_1_13,1,1,science,1,1,3
13,UoE_1_14,6,0,science,0,1,3
13,UoE_1_15,1,1,covid,0,0,3
13,UoE_1_16,1,1,covid,0,0,3
13,UoE_1_17,1,1,covid,0,0,3
13,UoE_1_18,1,1,covid,0,0,3
13,UoE_1_19,6,0,covid,0,1,3
13,UoE_1_20,3,1,covid,0,0,1
13,UoE_1_21,1,1,covid,1,1,3
13,UoE_1_22,1,1,covid,1,1,3
13,UoE_1_23,1,1,covid,1,1,3
13,UoE_1_24,1,1,covid,1,1,3
13,UoE_1_25,6,0,covid,0,1,3
13,UoE_1_26,1,1,covid,1,1,3
13,UoE_1_27,1,1,covid,1,1,3
13,UoE_1_28,1,1,covid,1,1,3
14,UoE_1_1,4,0,science,0,1,1
14,UoE_1_2,6,0,science,0,1,3
14,UoE_1_3,6,0,science,0,1,3
14,UoE_1_4,3,1,science,0,0,1
14,UoE_1_5,3,1,science,0,0,1
14,UoE_1_6,4,0,science,0,1,1
14,UoE_1_7,1,1,science,1,1,3
14,UoE_1_8,5,0,science,1,0,2
14,UoE_1_9,1,1,science,1,1,3
14,UoE_1_10,1,1,science,1,1,3
14,UoE_1_11,4,0,science,1,0,1
14,UoE_1_12,3,1,science,1,1,1
14,UoE_1_13,1,1,science,1,1,3
14,UoE_1_14,5,0,science,0,1,2
14,UoE_1_15,2,1,covid,0,0,2
14,UoE_1_16,3,1,covid,0,0,1
14,UoE_1_17,4,0,covid,0,1,1
14,UoE_1_18,4,0,covid,0,1,1
14,UoE_1_19,4,0,covid,0,1,1
14,UoE_1_20,3,1,covid,0,0,1
14,UoE_1_21,1,1,covid,1,1,3
14,UoE_1_22,1,1,covid,1,1,3
14,UoE_1_23,3,1,covid,1,1,1
14,UoE_1_24,4,0,covid,1,0,1
14,UoE_1_25,2,1,covid,0,0,2
14,UoE_1_26,3,1,covid,1,1,1
14,UoE_1_27,1,1,covid,1,1,3
14,UoE_1_28,1,1,covid,1,1,3
15,UoE_1_1,2,1,science,0,0,2
15,UoE_1_2,3,1,science,0,0,1
15,UoE_1_3,4,0,science,0,1,1
15,UoE_1_4,2,1,science,0,0,2
15,UoE_1_5,4,0,science,0,1,1
15,UoE_1_6,3,1,science,0,0,1
15,UoE_1_7,2,1,science,1,1,2
15,UoE_1_8,4,0,science,1,0,1
15,UoE_1_9,2,1,science,1,1,2
15,UoE_1_10,2,1,science,1,1,2
15,UoE_1_11,4,0,science,1,0,1
15,UoE_1_12,3,1,science,1,1,1
15,UoE_1_13,1,1,science,1,1,3
15,UoE_1_14,5,0,science,0,1,2
15,UoE_1_15,3,1,covid,0,0,1
15,UoE_1_16,2,1,covid,0,0,2
15,UoE_1_17,2,1,covid,0,0,2
15,UoE_1_18,3,1,covid,0,0,1
15,UoE_1_19,4,0,covid,0,1,1
15,UoE_1_20,3,1,covid,0,0,1
15,UoE_1_21,2,1,covid,1,1,2
15,UoE_1_22,2,1,covid,1,1,2
15,UoE_1_23,4,0,covid,1,0,1
15,UoE_1_24,3,1,covid,1,1,1
15,UoE_1_25,4,0,covid,0,1,1
15,UoE_1_26,4,0,covid,1,0,1
15,UoE_1_27,2,1,covid,1,1,2
15,UoE_1_28,3,1,covid,1,1,1
16,UoE_1_1,5,0,science,0,1,2
16,UoE_1_2,4,0,science,0,1,1
16,UoE_1_3,3,1,science,0,0,1
16,UoE_1_4,4,0,science,0,1,1
16,UoE_1_5,3,1,science,0,0,1
16,UoE_1_6,5,0,science,0,1,2
16,UoE_1_7,1,1,science,1,1,3
16,UoE_1_8,2,1,science,1,1,2
16,UoE_1_9,1,1,science,1,1,3
16,UoE_1_10,1,1,science,1,1,3
16,UoE_1_11,3,1,science,1,1,1
16,UoE_1_12,2,1,science,1,1,2
